Cap waktu,Nama/inisial,Nomor Induk Mahasiswa (NIM) ,Angkatan,Jenis Kelamin,  Berapa rata-rata durasi Anda menggunakan media sosial dalam sehari?  ,Seberapa sering Anda membuka media sosial dalam satu hari? ,Pada waktu kapan Anda paling sering mengakses media sosial? ,Platform media sosial apa yang paling sering Anda gunakan? ,Apakah Anda sering mengecek notifikasi media sosial saat sedang belajar/mengerjakan tugas?  ,Saya sering menunda waktu untuk mulai mengerjakan tugas kuliah.  ,Saya merasa malas jika harus mengerjakan tugas yang menurut saya sulit.  ,Saya sering terlambat mengumpulkan tugas karena manajemen waktu yang buruk.  ,"Saya sering membuat rencana belajar, tetapi gagal melaksanakannya.  ",Saya sering berhenti mengerjakan tugas di tengah jalan untuk melakukan aktivitas lain yang tidak berkaitan dengan tugas akademik. ,Saya butuh waktu lama untuk mengumpulkan niat sebelum mulai belajar.  ,Saya lebih memilih mengakses media sosial daripada mengerjakan tugas. ,"Saya sering merasa bersalah setelah menunda tugas, tetapi tetap mengulangi kebiasaan tersebut. ",Saya mengalihkan perhatian pada aktivitas hiburan digital ketika merasa bosan atau mengalami kesulitan saat mengerjakan tugas. ,Saya sering menunda mengerjakan tugas karena merasa masih memiliki banyak waktu sebelum batas pengumpulan tugas. ,Skor,Target
2026/06/26 10:58:30 AM GMT+7,Hanif ,2230511011,2022,Laki - Laki,c. 3 - 5 Jam,d. (> 20 kali / Hampir setiap saat),c. Malam hari (Sebelum tidur),b. TikTok,a. Tidak Pernah,3,3,3.0,3,3,4,3,3,3,3,31.0,Tinggi
2026/06/26 11:00:22 AM GMT+7,Andi ,2230511024,2022,Laki - Laki,b. 1-3 jam,a. (< 5 kali),c. Malam hari (Sebelum tidur),c. Twitter (X),a. Tidak Pernah,1,3,3.0,3,2,1,3,2,2,3,23.0,Sedang
2026/06/26 1:34:39 PM GMT+7,Fitria,2330511022,2023,Perempuan,b. 1-3 jam,c. (11 - 20 kali),c. Malam hari (Sebelum tidur),a. Instagram,b. Jarang,2,3,4.0,3,2,3,2,2,3,3,27.0,Sedang
2026/06/26 1:36:19 PM GMT+7,Agus,2230511023,2022,Laki - Laki,c. 3 - 5 Jam,d. (> 20 kali / Hampir setiap saat),c. Malam hari (Sebelum tidur),b. TikTok,b. Jarang,4,4,4.0,4,4,4,4,4,4,4,40.0,Tinggi
2026/06/26 1:37:30 PM GMT+7,Andi,2030311023,2020,Laki - Laki,b. 1-3 jam,b. (5 - 10 kali),b. Siang hari (Istirahat kuliah),d. YouTube,d. Selalu,1,2,3.0,4,3,2,1,2,3,4,25.0,Sedang
2026/06/27 12:44:42 AM GMT+7,Heri,2330511026,2023,Laki - Laki,a. < 1 jam,b. (5 - 10 kali),c. Malam hari (Sebelum tidur),c. Twitter (X),a. Tidak Pernah,2,3,3.0,2,4,1,4,3,2,2,26.0,Sedang
2026/06/27 12:46:51 AM GMT+7,Rizky Pratama,2330511077,2023,Laki - Laki,b. 1-3 jam,b. (5 - 10 kali),c. Malam hari (Sebelum tidur),e. WhatsApp,a. Tidak Pernah,2,3,1.0,2,2,1,2,2,3,3,21.0,Sedang
2026/06/27 12:46:51 AM GMT+7,Fani,2130511020,2021,Perempuan,a. < 1 jam,c. (11 - 20 kali),b. Siang hari (Istirahat kuliah),d. YouTube,c. Sering,2,3,3.0,2,3,1,4,4,1,2,25.0,Sedang
2026/06/27 12:47:53 AM GMT+7,Surya,2030511036,2020,Laki - Laki,c. 3 - 5 Jam,c. (11 - 20 kali),b. Siang hari (Istirahat kuliah),c. Twitter (X),a. Tidak Pernah,1,3,4.0,2,1,3,2,4,4,3,27.0,Sedang
2026/06/27 2:50:48 AM GMT+7,Isan,2230511027,2022,Laki - Laki,d. > 5 Jam,a. (< 5 kali),b. Siang hari (Istirahat kuliah),a. Instagram,b. Jarang,2,2,1.0,4,2,1,1,4,4,1,22.0,Sedang
